Code	NAME	FatherAccountKey	ActiveAccount	AcctCurrency	AccountType	LockManualTransaction	CashAccount	CfwRlvnt	BudgetAccount	RateExch	DistributionRuleRelevant	DistributionRule2Relevant	DistributionRule3Relevant	DistributionRule4Relevant	DistributionRule5Relevant	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
AcctCode	ACCTNAME	FatherNum	Postable	ActCurr	ActType	LocManTran	Finanse	CfwRlvnt	Budget	ExchRate	Dim1Relvnt	Dim2Relvnt	Dim3Relvnt	Dim4Relvnt	Dim5Relvnt	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
01	BIENES Y VALORES ENTREGADOS	800000000000000	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
011	BIENES EN PRÉSTAMO Y CUSTODIA NO CAPITALIZABLES	01	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0111	BIENES EN PRÉSTAMO	011	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01111001	BIENES EN PRÉSTAMO	0111	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0112	BIENES EN CUSTODIA	011	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01121001	BIENES EN CUSTODIA	0112	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
012	VALORES Y BIENES ENTREGADOS EN GARANTÍA	01	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0121	CARTAS FIANZAS	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01211001	CARTAS FIANZAS	0121	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0122	CUENTAS POR COBRAR	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01221001	CUENTAS POR COBRAR	0122	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0123	EXISTENCIAS	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01231001	EXISTENCIAS	0123	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0124	INVERSIÓN INMOBILIARIA	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01241001	INVERSIÓN INMOBILIARIA	0124	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0125	INVERSIÓN MOBILIARIA	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01251001	INVERSIÓN MOBILIARIA	0125	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0126	INMUEBLES, MAQUINARIA Y EQUIPO	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01261001	INMUEBLES, MAQUINARIA Y EQUIPO	0126	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0127	INTANGIBLES	012	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01271001	INTANGIBLES	0127	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
013	ACTIVOS REALIZABLES ENTREGADOS EN CONSIGNACIÓN	01	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0131	ACTIVOS REALIZABLES ENTREGADOS EN CONSIGNACIÓN	013	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
01311001	ACTIVOS REALIZABLES ENTREGADOS EN CONSIGNACIÓN	0131	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02	DERECHOS SOBRE INSTRUMENTOS FINANCIEROS	800000000000000	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
021	PRIMARIA	02	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0211	INVERSIONES MANTENIDAS PARA NEGOCIACIÓN	021	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02111001	INVERSIONES MANTENIDAS PARA NEGOCIACIÓN	0211	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0212	INVERSIONES DISPONIBLES PARA LA VENTA	021	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02121001	INVERSIONES DISPONIBLES PARA LA VENTA	0212	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0213	INVERSIONES A SER MANTENIDAS HASTA EL VENCIMIENTO	021	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02131001	INVERSIONES A SER MANTENIDAS HASTA EL VENCIMIENTO	0213	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
022	DERIVADOS	02	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0221	CONTRATOS A FUTURO	022	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02211001	CONTRATOS A FUTURO	0221	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0222	CONTRATOS A TÉRMINO (FORWARD)	022	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02221001	CONTRATOS A TÉRMINO (FORWARD)	0222	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0223	PERMUTAS FINANCIERAS SWAP	022	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02231001	PERMUTAS FINANCIERAS SWAP	0223	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0224	CONTRATOS DE OPCIÓN	022	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
02241001	CONTRATOS DE OPCIÓN	0224	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03	OTRAS CUENTAS DE ORDEN DEUDORAS	800000000000000	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
031	CONTRATOS APROBADOS	03	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0311	CONTRATOS DE EJECUCIÓN	031	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03111001	CONTRATOS DE EJECUCIÓN	0311	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0312	CONTRATOS EN TRÁMITE	031	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03121001	CONTRATOS EN TRÁMITE	0312	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
032	BIENES DADOS DE BAJA	03	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0321	SUMINISTROS	032	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03211001	SUMINISTROS	0321	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0322	INMUEBLES, MAQUINARIA Y EQUIPO	032	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03221001	INMUEBLES, MAQUINARIA Y EQUIPO	0322	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
039	DIVERSAS	03	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0391	DIVERSAS	039	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
03911001	DIVERSAS	0391	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
04	DEUDORAS POR CONTRA	800000000000000	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06	BIENES Y VALORES RECIBIDOS	800000000000000	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
061	BIENES RECIBIDOS EN CUSTODIA Y PRÉSTAMO	06	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0611	BIENES RECIBIDOS EN PRÉSTAMO	061	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06111001	BIENES RECIBIDOS EN PRÉSTAMO	0611	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0612	BIENES RECIBIDOS EN CUSTODIA	061	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06121001	BIENES RECIBIDOS EN CUSTODIA	0612	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
062	VALORES Y BIENES RECIBIDOS EN GARANTÍA	06	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0621	CARTAS FIANZAS	062	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06211001	CARTAS FIANZAS	0621	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0622	CUENTAS POR COBRAR	062	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06221001	CUENTAS POR COBRAR	0622	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0623	EXISTENCIAS	062	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06231001	EXISTENCIAS	0623	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0624	INVERSION MOBILIARIA	062	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06241001	INVERSION MOBILIARIA	0624	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
0625	INVERSIÓN INMOBILIARIA	062	tNO	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
06251001	INVERSIÓN INMOBILIARIA	0625	tYES	##	at_Other	tNO	tNO	tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
