Number	GroupName	SYP_DESCC	InventoryAccount	VarianceAccount	ExpensesAccount	ExchangeRateDifferencesAccount	PurchaseAccount	StockInTransitAccount	CostAccount	TransfersAccount	RevenuesAccount	DecreasingAccount	IncreasingAccount	ReturningAccount	ForeignRevenuesAccount	ForeignExpensesAccount	PriceDifferencesAccount	GoodsClearingAccount	PAReturnAccount	PurchaseOffsetAccount	ShippedGoodsAccount	DecreaseGLAccount	IncreaseGLAccount	StockInflationAdjustAccount	StockInflationOffsetAccount	ExpenseClearingAct	ExpenseOffsetAccount	SalesCreditAcc	SalesCreditForeignAcc	PurchaseCreditAcc	ForeignPurchaseCreditAcc	RevRetAct	NegativeInventoryAdjustmentAccount	PurchaseBalanceAccount	U_SYP_GRINV	U_SYP_GRCOM	U_SYP_GRVEN	U_SYP_PREFIJO
ItmsGrpCod	ItmsGrpNam	SYP_DESCC	BalInvntAc	VarianceAc	ExpensesAc	ExchangeAc	PurchaseAc	StkInTnAct	SaleCostAc	TransferAc	RevenuesAc	DecreasAc	IncreasAc	ReturnAc	FrRevenuAc	FrExpensAc	PriceDifAc	BalanceAcc	PAReturnAc	PurchOfsAc	ShpdGdsAct	DecresGlAc	IncresGlAc	StokRvlAct	StkOffsAct	ExpClrAct	ExpOfstAct	ARCMAct	ARCMFrnAct	APCMAct	APCMFrnAct	RevRetAct	NegStckAct	PurBalAct	U_SYP_GRINV	U_SYP_GRCOM	U_SYP_GRVEN	U_SYP_PREFIJO
20111001	MC - Manufacturados	Mercaderías Manufacturadas - Costo	20111001	61111001	65611001	67611001	60111001	28111001	69111001	42111003	70111001	61111001	61111001	20111001	70111001	65611001	69111001	42111003	60111001	61111001	60111001	61111001	61111001	61111001		60919002	69111001	70111001	70111001	61111001	61111001			61111001	Y	Y	Y	
20211001	MC - De Extracción	Mercaderías de Extracción	20211001	61121001	65611001	67611001	60121001	28121001	69121001	42111003	70121001	61121001	61121001	20211001	70121001	65611001	69121001	42111003	60121001	61121001	60121001	61121001	61121001	61121001		60919002	69121001	70121001	70121001	61121001	61121001			61121001	Y	Y	Y	
20311001	MC - OrigenAnimal	Mercaderías de Origen Animal	20311001	61131001	65611001	67611001	60131001	28131001	69131001	42111003	70131001	61131001	61131001	20311001	70131001	65611001	69131001	42111003	60131001	61131001	60131001	61131001	61131001	61131001		60919002	69131001	70131001	70131001	61131001	61131001			61131001	Y	Y	Y	
20321001	MC - OrigenVegetal	Mercaderías de Origen Vegetal	20321001	61131001	65611001	67611001	60132001	28132001	69131001	42111003	70131001	61131001	61131001	20321001	70131001	65611001	69131001	42111003	60132001	61131001	60132001	61131001	61131001	61131001		60919002	69131001	70131001	70131001	61131001	61131001			61131001	Y	Y	Y	
20411001	MC - Inmuebles	Mercaderías Inmuebles	20411001	61131001	65611001	67611001	60141001	28141001	69141001	42111003	70141001	61131001	61131001	20411001	70141001	65611001	69141001	42111003	60141001	61131001	60141001	61131001	61131001	61131001		60919002	69141001	70141001	70141001	61131001	61131001			61131001	N	Y	Y	
20811001	MC - Otras Mercader	Otras Mercaderías	20811001	61151001	65611001	67611001	60181001	28151001	69151001	42111003	70151001	61151001	61151001	20811001	70151001	65611001	69151001	42111003	60181001	61151001	60181001	61151001	61151001	61151001		60919002	69151001	70151001	70151001	61151001	61151001			61151001	Y	Y	Y	
21111001	PT Manufacturados	Productos Manufacturados	21111001	71111001	65611001	67611001	60181001	28151001	69211001	42111003	70211001	71111001	71111001	21111001	70211001	65611001	69211001	42111003	60181001	71111001	60181001	71111001	71111001	71111001		60919002	69211001	70211001	70211001	71111001	71111001			71111001	Y	Y	Y	
21211001	PT de Extracción 	Productos de Extracción Terminados	21211001	71121001	65611001	67611001	60181001	28151001	69221001	42111003	70221001	71121001	71121001	21211001	70221001	65611001	69221001	42111003	60181001	71121001	60181001	71121001	71121001	71121001		60919002	69221001	70221001	70221001	71121001	71121001			71121001	Y	Y	Y	
21311001	PT - Origen Animal	Prod. Terminados de Origen Animal - Costo	21311001	71131001	65611001	67611001	60181001	28151001	69231001	42111003	70231001	71131001	71131001	21311001	70231001	65611001	69231001	42111003	60181001	71131001	60181001	71131001	71131001	71131001		60919002	69231001	70231001	70231001	71131001	71131001			71131001	Y	Y	Y	
