Code	Name	U_SYP_TDTD	U_SYP_TDDD	U_SYP_DIN	U_SYP_REGVEN	U_SYP_REGCOM	U_SYP_DAOT	U_SYP_CREF	U_SYP_REQDO	U_SYP_SERVPUBL	U_SYP_SOLIGV	U_SYP_SINIGV	U_SYP_SIZESER	U_SYP_SIZECOR	BREAK	U_SYP_VFAC	U_SYP_VENT	U_SYP_VNCR	U_SYP_VNDB	U_SYP_VANT	U_SYP_VFRE	U_SYP_VDEV	U_SYP_CFAC	U_SYP_CENT	U_SYP_CNCR	U_SYP_CNDB	U_SYP_CANT	U_SYP_CFRE	U_SYP_CDEV	U_SYP_IING	U_SYP_ISAL	U_SYP_ITRA	U_SYP_VBOL	U_SYP_VBEX	U_SYP_VFEX	U_SYP_VFEP	U_SYP_VFPA	SYP_CPEN
Code	Name	U_SYP_TDTD	U_SYP_TDDD	U_SYP_DIN	U_SYP_REGVEN	U_SYP_REGCOM	U_SYP_DAOT	U_SYP_CREF	U_SYP_REQDO	U_SYP_SERVPUBL	U_SYP_SOLIGV	U_SYP_SINIGV	U_SYP_SIZESER	U_SYP_SIZECOR	BREAK	U_SYP_VFAC	U_SYP_VENT	U_SYP_VNCR	U_SYP_VNDB	U_SYP_VANT	U_SYP_VFRE	U_SYP_VDEV	U_SYP_CFAC	U_SYP_CENT	U_SYP_CNCR	U_SYP_CNDB	U_SYP_CANT	U_SYP_CFRE	U_SYP_CDEV	U_SYP_IING	U_SYP_ISAL	U_SYP_ITRA	U_SYP_VBOL	U_SYP_VBEX	U_SYP_VFEX	U_SYP_VFEP	U_SYP_VFPA	SYP_CPEN
00		00	Otros (especificar)	N	N	N	NI	N	N	N	N	N	4	20	BREAK	N	N	N	N	N	N	N	Y	Y	N	N	Y	Y	N	N	Y	Y	N	N	N	N	N	N
01		01	Factura	N	Y	Y	NI	Y	N	N	N	N	4	8	BREAK	Y	N	N	N	Y	Y	N	Y	Y	N	N	Y	Y	N	N	N	N	N	N	Y	Y	Y	N
02		02	Recibo por honorarios	N	N	N	NI	N	N	N	N	N	4	7	BREAK	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N
03		03	Boleta de Venta	N	Y	Y	NI	N	N	N	N	N	4	8	BREAK	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	Y	Y	N	N	N	N
04		04	Liquidacion de compra	N	N	Y	NI	N	N	Y	N	N	4	8	BREAK	N	N	N	N	N	N	N	Y	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N
05		05	Boleto de Companias de Aviacion	N	N	Y	NI	N	N	N	N	N	1	11	BREAK	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N
06		06	Carta de porte aereo - Trans.carga	N	N	N	NI	N	N	N	N	N	4	8	BREAK	N	N	N	N	N	N	N	Y	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N
07		07	Nota de credito	N	Y	Y	NI	Y	Y	N	N	N	4	8	BREAK	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N
08		08	Nota de debito	N	Y	Y	NI	N	Y	N	N	N	4	8	BREAK	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N
