Code	Name	U_SYP_DEPA	U_SYP_PROV	U_SYP_DIST
Code	Name	U_SYP_DEPA	U_SYP_PROV	U_SYP_DIST
010101	010101	Amazonas	Chachapoyas	Chachapoyas
010102	010102	Amazonas	Chachapoyas	Asunción
010103	010103	Amazonas	Chachapoyas	Balsas
010104	010104	Amazonas	Chachapoyas	Cheto
010105	010105	Amazonas	Chachapoyas	Chiliquin
010106	010106	Amazonas	Chachapoyas	Chuquibamba
010107	010107	Amazonas	Chachapoyas	Granada
010108	010108	Amazonas	Chachapoyas	Huancas
010109	010109	Amazonas	Chachapoyas	La Jalca
010110	010110	Amazonas	Chachapoyas	Leimebamba
010111	010111	Amazonas	Chachapoyas	Levanto
010112	010112	Amazonas	Chachapoyas	Magdalena
010113	010113	Amazonas	Chachapoyas	Mariscal Castilla
010114	010114	Amazonas	Chachapoyas	Molinopampa
010115	010115	Amazonas	Chachapoyas	Montevideo
010116	010116	Amazonas	Chachapoyas	Olleros
010117	010117	Amazonas	Chachapoyas	Quinjalca
010118	010118	Amazonas	Chachapoyas	San Francisco de Daguas
010119	010119	Amazonas	Chachapoyas	San Isidro de Maino
010120	010120	Amazonas	Chachapoyas	Soloco
010121	010121	Amazonas	Chachapoyas	Sonche
010201	010201	Amazonas	Bagua	Bagua
010202	010202	Amazonas	Bagua	Aramango
010203	010203	Amazonas	Bagua	Copallin
010204	010204	Amazonas	Bagua	El Parco
010205	010205	Amazonas	Bagua	Imaza
010206	010206	Amazonas	Bagua	La Peca
010301	010301	Amazonas	Bongará	Jumbilla
010302	010302	Amazonas	Bongará	Chisquilla
010303	010303	Amazonas	Bongará	Churuja
010304	010304	Amazonas	Bongará	Corosha
010305	010305	Amazonas	Bongará	Cuispes
010306	010306	Amazonas	Bongará	Florida
010307	010307	Amazonas	Bongará	Jazan
010308	010308	Amazonas	Bongará	Recta
010309	010309	Amazonas	Bongará	San Carlos
010310	010310	Amazonas	Bongará	Shipasbamba
010311	010311	Amazonas	Bongará	Valera
010312	010312	Amazonas	Bongará	Yambrasbamba
010401	010401	Amazonas	Condorcanqui	Nieva
010402	010402	Amazonas	Condorcanqui	El Cenepa
010403	010403	Amazonas	Condorcanqui	Río Santiago
010501	010501	Amazonas	Luya	Lamud
010502	010502	Amazonas	Luya	Camporredondo
010503	010503	Amazonas	Luya	Cocabamba
010504	010504	Amazonas	Luya	Colcamar
010505	010505	Amazonas	Luya	Conila
010506	010506	Amazonas	Luya	Inguilpata
010507	010507	Amazonas	Luya	Longuita
010508	010508	Amazonas	Luya	Lonya Chico
010509	010509	Amazonas	Luya	Luya
010510	010510	Amazonas	Luya	Luya Viejo
010511	010511	Amazonas	Luya	María
010512	010512	Amazonas	Luya	Ocalli
010513	010513	Amazonas	Luya	Ocumal
010514	010514	Amazonas	Luya	Pisuquia
010515	010515	Amazonas	Luya	Providencia
010516	010516	Amazonas	Luya	San Cristóbal
010517	010517	Amazonas	Luya	San Francisco de Yeso
010518	010518	Amazonas	Luya	San Jerónimo
010519	010519	Amazonas	Luya	San Juan de Lopecancha
010520	010520	Amazonas	Luya	Santa Catalina
010521	010521	Amazonas	Luya	Santo Tomas
010522	010522	Amazonas	Luya	Tingo
010523	010523	Amazonas	Luya	Trita
010601	010601	Amazonas	Rodríguez de Mendoza	San Nicolás
010602	010602	Amazonas	Rodríguez de Mendoza	Chirimoto
010603	010603	Amazonas	Rodríguez de Mendoza	Cochamal
010604	010604	Amazonas	Rodríguez de Mendoza	Huambo
010605	010605	Amazonas	Rodríguez de Mendoza	Limabamba
010606	010606	Amazonas	Rodríguez de Mendoza	Longar
010607	010607	Amazonas	Rodríguez de Mendoza	Mariscal Benavides
010608	010608	Amazonas	Rodríguez de Mendoza	Milpuc
010609	010609	Amazonas	Rodríguez de Mendoza	Omia
010610	010610	Amazonas	Rodríguez de Mendoza	Santa Rosa
010611	010611	Amazonas	Rodríguez de Mendoza	Totora
010612	010612	Amazonas	Rodríguez de Mendoza	Vista Alegre
010701	010701	Amazonas	Utcubamba	Bagua Grande
010702	010702	Amazonas	Utcubamba	Cajaruro
010703	010703	Amazonas	Utcubamba	Cumba
010704	010704	Amazonas	Utcubamba	El Milagro
010705	010705	Amazonas	Utcubamba	Jamalca
010706	010706	Amazonas	Utcubamba	Lonya Grande
010707	010707	Amazonas	Utcubamba	Yamon
020101	020101	Áncash	Huaraz	Huaraz
020102	020102	Áncash	Huaraz	Cochabamba
020103	020103	Áncash	Huaraz	Colcabamba
020104	020104	Áncash	Huaraz	Huanchay
020105	020105	Áncash	Huaraz	Independencia
020106	020106	Áncash	Huaraz	Jangas
020107	020107	Áncash	Huaraz	La Libertad
020108	020108	Áncash	Huaraz	Olleros
020109	020109	Áncash	Huaraz	Pampas Grande
020110	020110	Áncash	Huaraz	Pariacoto
020111	020111	Áncash	Huaraz	Pira
020112	020112	Áncash	Huaraz	Tarica
020201	020201	Áncash	Aija	Aija
020202	020202	Áncash	Aija	Coris
020203	020203	Áncash	Aija	Huacllan
020204	020204	Áncash	Aija	La Merced
020205	020205	Áncash	Aija	Succha
020301	020301	Áncash	Antonio Raymondi	Llamellin
020302	020302	Áncash	Antonio Raymondi	Aczo
020303	020303	Áncash	Antonio Raymondi	Chaccho
020304	020304	Áncash	Antonio Raymondi	Chingas
020305	020305	Áncash	Antonio Raymondi	Mirgas
020306	020306	Áncash	Antonio Raymondi	San Juan de Rontoy
020401	020401	Áncash	Asunción	Chacas
020402	020402	Áncash	Asunción	Acochaca
020501	020501	Áncash	Bolognesi	Chiquian
020502	020502	Áncash	Bolognesi	Abelardo Pardo Lezameta
020503	020503	Áncash	Bolognesi	Antonio Raymondi
